1.000000000000000021e-03 5.326088354927405817e+02 1.984026368120397725e-03 -9.448795907773889545e-04 1.065239052252765987e+03 5.326359357371313763e+02 -1.182836094913788244e-03 8.439033688194822608e-03 4.707869439237641274e+01 7.961860140457343096e-03 1.115289809050906689e-02 1.255093684802445608e+02 8.365058635916409457e+01
1.084232539313427111e-03 5.731912739122735729e+02 2.509749963707752843e-03 -1.192476090714637013e-03 1.146398591531082275e+03 5.732171909947818449e+02 -1.385691900824356174e-03 9.922624320342203832e-03 4.707843575476826459e+01 9.347939780333889073e-03 1.309421222417111834e-02 1.255027490852542513e+02 8.364228330337530792e+01
1.175560199306042129e-03 6.166619626769952447e+02 3.173711282433385340e-03 -1.504650607465275519e-03 1.233349793817360933e+03 6.166942602500721478e+02 -1.622447721070579933e-03 1.166741980848839781e-02 4.707813176242862596e+01 1.097280619121029747e-02 1.537025014137004784e-02 1.254949706438975312e+02 8.363253528279282989e+01
1.274580620009388432e-03 6.632292658034729129e+02 4.011813047633669069e-03 -1.898117979275426538e-03 1.326480711246313149e+03 6.632614793685974064e+02 -1.898336525968547395e-03 1.371954875453276594e-02 4.707777449934680192e+01 1.287666661302985273e-02 1.803756850767205752e-02 1.254858317903311189e+02 8.362109439766152263e+01
1.381941782192460137e-03 7.130757723981375875e+02 5.069424621290780433e-03 -2.394290543045981753e-03 1.426178594327972178e+03 7.131122238209585475e+02 -2.219538554423239156e-03 1.613333212769463634e-02 4.707735460511600678e+01 1.510637194303045445e-02 2.116189254463615374e-02 1.254750945620438642e+02 8.360766877295186816e+01
1.498346247689853880e-03 7.664073433669622091e+02 6.403321081234906835e-03 -3.019498681330693921e-03 1.532848965809871288e+03 7.664495093290295245e+02 -2.592902611522951862e-03 1.897275911284177635e-02 4.707686115055687992e+01 1.771612328436188502e-02 2.481942256543503283e-02 1.254624812874338318e+02 8.359191930953980432e+01
1.624555756903515308e-03 8.234420503913551102e+02 8.084791140684796304e-03 -3.806610858643845029e-03 1.646915379232509849e+03 8.234852892917411964e+02 -3.026016677434390997e-03 2.231322753667936559e-02 4.707628129425133068e+01 2.076854624832991103e-02 2.909832628587383924e-02 1.254476662253605639e+02 8.357345014180496889e+01
1.761396213563744956e-03 8.843684210405818931e+02 1.020328333273148695e-02 -4.796707025276404114e-03 1.768784071706949135e+03 8.844221064485262787e+02 -3.527166249596189185e-03 2.624360330797627719e-02 4.707559989049951810e+01 2.433584359284885618e-02 3.410038443240855088e-02 1.254302658235234418e+02 8.355179773111456143e+01
1.909763089369274653e-03 9.493817860091372722e+02 1.286975569571355109e-02 -6.040947672794783063e-03 1.898808615341440373e+03 9.494375284023543600e+02 -4.105382677519526895e-03 3.086867371998473775e-02 4.707479928701494032e+01 2.850090680177923275e-02 3.994266401871150035e-02 1.254098343242458498e+02 8.352642683219848152e+01
2.070627283873903782e-03 1.018632122546065034e+03 1.622323355025993147e-02 -7.602639923786282290e-03 2.037322388794477092e+03 1.018697748264043867e+03 -4.770348302175977592e-03 3.631203092593087572e-02 4.707385863017235295e+01 3.335880638003564658e-02 4.675948819756344660e-02 1.253858462189203351e+02 8.349671093002979205e+01
